sample,category,layer,modality,tokens,router_entropy_median,top1_mass_median,top2_mass_median,top3_mass_median,top4_mass_median,top5_mass_median,top6_mass_median,top7_mass_median,top8_mass_median
astronaut_e336,natural,4,vision,100,2.0649945735931396,0.1648828685283661,0.3134709596633911,0.4438786804676056,0.566536545753479,0.6797719597816467,0.7892492413520813,0.8968906402587891,1.0
astronaut_e336,natural,4,text,21,1.976752758026123,0.2200145721435547,0.4012393355369568,0.5280135869979858,0.6693581938743591,0.7729067206382751,0.8525907397270203,0.9294528961181641,1.0
astronaut_e336,natural,24,vision,100,2.051384925842285,0.18008823692798615,0.3368758261203766,0.4648747444152832,0.5887112021446228,0.6979008316993713,0.8035851716995239,0.902915894985199,1.0
astronaut_e336,natural,24,text,21,1.995337963104248,0.2210204303264618,0.4066188335418701,0.5462141633033752,0.6634045839309692,0.7631759643554688,0.8491725325584412,0.9287063479423523,1.0
astronaut_e336,natural,44,vision,100,2.0650715827941895,0.1635299175977707,0.30936241149902344,0.4417576193809509,0.5657216310501099,0.6824120283126831,0.7916381359100342,0.897484302520752,1.0
astronaut_e336,natural,44,text,21,1.994788408279419,0.22378365695476532,0.4046107530593872,0.5316137671470642,0.6557672023773193,0.7483842372894287,0.8442263007164001,0.9267616271972656,1.0
camera_e448,natural,4,vision,196,2.0664706230163574,0.1626375913619995,0.30770260095596313,0.4370085597038269,0.5589771270751953,0.6752251386642456,0.7871081829071045,0.8951596021652222,1.0
camera_e448,natural,4,text,21,1.9803131818771362,0.21931162476539612,0.4024439752101898,0.5459701418876648,0.6727797985076904,0.7678367495536804,0.8523291349411011,0.9282746315002441,1.0
camera_e448,natural,24,vision,196,2.0476088523864746,0.19501551985740662,0.34869322180747986,0.47417667508125305,0.5903652906417847,0.7005214691162109,0.8049285411834717,0.9044439792633057,1.0
camera_e448,natural,24,text,21,1.9992790222167969,0.23203258216381073,0.407804012298584,0.5481129288673401,0.6558125615119934,0.7633417844772339,0.8438798189163208,0.9246022701263428,1.0
camera_e448,natural,44,vision,196,2.0691914558410645,0.16092050075531006,0.301100492477417,0.4324702024459839,0.5540974140167236,0.6725544929504395,0.7854701280593872,0.8934891223907471,1.0
camera_e448,natural,44,text,21,1.9813992977142334,0.220359206199646,0.39197513461112976,0.5407741069793701,0.648594856262207,0.7592663764953613,0.84775310754776,0.9282553195953369,1.0
chelsea_e672,natural,4,vision,441,2.0719757080078125,0.15312738716602325,0.2939295768737793,0.4243813157081604,0.5479787588119507,0.6670273542404175,0.7806354761123657,0.8918036222457886,1.0
chelsea_e672,natural,4,text,21,1.9792801141738892,0.22423507273197174,0.4127073287963867,0.5437191724777222,0.6695268750190735,0.7644129991531372,0.8528972268104553,0.9284934401512146,1.0
chelsea_e672,natural,24,vision,441,2.0637118816375732,0.17108747363090515,0.3152642250061035,0.4453754127025604,0.5663028955459595,0.6816155910491943,0.7907764315605164,0.8969775438308716,1.0
chelsea_e672,natural,24,text,21,1.989166498184204,0.23166947066783905,0.40724632143974304,0.5580275654792786,0.6795433163642883,0.7709349989891052,0.8582740426063538,0.9315392374992371,1.0
chelsea_e672,natural,44,vision,441,2.0745348930358887,0.14949655532836914,0.2868070602416992,0.41409122943878174,0.5377465486526489,0.6570397615432739,0.773428738117218,0.8881838917732239,1.0
chelsea_e672,natural,44,text,21,1.9963407516479492,0.22221697866916656,0.39787518978118896,0.5427694916725159,0.6440081000328064,0.7607780694961548,0.8489206433296204,0.9291753768920898,1.0
brick_e336,fine_grained,4,vision,100,2.070382833480835,0.15763068199157715,0.30048853158950806,0.4296804666519165,0.5516312122344971,0.6688956022262573,0.7827214002609253,0.8930210471153259,1.0
brick_e336,fine_grained,4,text,21,1.9793771505355835,0.2189369946718216,0.39057397842407227,0.5431352257728577,0.6637604236602783,0.766940712928772,0.8524801731109619,0.9279685020446777,1.0
brick_e336,fine_grained,24,vision,100,2.0606982707977295,0.17406651377677917,0.3196534216403961,0.45446571707725525,0.5763033628463745,0.6876548528671265,0.7977868318557739,0.9002987146377563,1.0
brick_e336,fine_grained,24,text,21,1.970280408859253,0.2285105139017105,0.4067290425300598,0.564607560634613,0.6803077459335327,0.7690779566764832,0.8596418499946594,0.9329730868339539,1.0
brick_e336,fine_grained,44,vision,100,2.068561553955078,0.159312903881073,0.30062782764434814,0.434673011302948,0.5564334988594055,0.6749857664108276,0.7895460724830627,0.8965746164321899,1.0
brick_e336,fine_grained,44,text,21,2.0050153732299805,0.23943737149238586,0.3970670998096466,0.5220438241958618,0.6405892372131348,0.7481331825256348,0.8435319662094116,0.9285446405410767,1.0
cell_e448,fine_grained,4,vision,196,2.0699849128723145,0.1603829562664032,0.30103158950805664,0.4301323890686035,0.5528435707092285,0.6708520650863647,0.7841223478317261,0.8934068083763123,1.0
cell_e448,fine_grained,4,text,21,1.9840302467346191,0.22107301652431488,0.3997320532798767,0.5434094667434692,0.6706006526947021,0.7662124037742615,0.8541203141212463,0.9281997680664062,1.0
cell_e448,fine_grained,24,vision,196,2.0586252212524414,0.18056893348693848,0.3275119662284851,0.4585173726081848,0.5766423940658569,0.688880443572998,0.7963879108428955,0.9000824689865112,1.0
cell_e448,fine_grained,24,text,21,1.9614529609680176,0.24114522337913513,0.4279783368110657,0.5653723478317261,0.6739325523376465,0.7725902199745178,0.8596553206443787,0.9352988004684448,1.0
cell_e448,fine_grained,44,vision,196,2.0747127532958984,0.1471078097820282,0.2833123803138733,0.4129529595375061,0.5373692512512207,0.6582626104354858,0.7738173007965088,0.8886371850967407,1.0
