policy,target_k,importance_slack,n,vision_assignment_reduction_median,vision_assignment_reduction_p10,vision_assignment_reduction_p90,dropped_router_mass_median,dropped_router_mass_p10,dropped_router_mass_p90,max_rank_reduction_median,max_rank_reduction_p10,max_rank_reduction_p90,mean_rank_reduction_median,mean_rank_reduction_p10,mean_rank_reduction_p90,combined_rel_l2_median,combined_rel_l2_p10,combined_rel_l2_p90,vision_combined_rel_l2_median,vision_combined_rel_l2_p10,vision_combined_rel_l2_p90,combined_cosine_median,combined_cosine_p10,combined_cosine_p90,vision_token_cos_p01_median,vision_token_cos_p01_p10,vision_token_cos_p01_p90,vision_token_rel_p99_median,vision_token_rel_p99_p10,vision_token_rel_p99_p90
random,1,0.0,81,0.875,0.875,0.875,0.8751050233840942,0.8709146976470947,0.8783759474754333,0.7685009487666035,0.6666666666666667,0.830781627719581,0.7760180995475113,0.7,0.8280579399141631,0.8893883228302002,0.8039816617965698,0.9136711955070496,0.934507429599762,0.9212608337402344,0.9527355432510376,0.45744019746780396,0.4065537452697754,0.5946939587593079,0.08407957851886749,-0.00824742577970028,0.187981978058815,0.9968559145927429,0.9823783040046692,1.0000271797180176
random,2,0.0,81,0.75,0.75,0.75,0.7512301206588745,0.7456921935081482,0.7549722790718079,0.6622390891840607,0.5767790262172285,0.7225806451612904,0.6651583710407241,0.6,0.7097639484978541,0.814148485660553,0.7378984093666077,0.8482390642166138,0.858747661113739,0.8357236981391907,0.8848504424095154,0.5814570784568787,0.5300206542015076,0.6750691533088684,0.15614157915115356,0.011417660862207413,0.2973867356777191,0.9884052872657776,0.9549907445907593,0.999954104423523
random,4,0.0,81,0.5,0.5,0.5,0.5009778738021851,0.49672630429267883,0.5055511593818665,0.4444444444444444,0.3877551020408163,0.4817518248175182,0.4434389140271493,0.4,0.473175965665236,0.6620830297470093,0.6089637279510498,0.7159157395362854,0.6991440653800964,0.6724146008491516,0.752042829990387,0.7496699094772339,0.6983436942100525,0.7934648394584656,0.296623557806015,0.024135911837220192,0.4679582715034485,0.9576963186264038,0.8846865296363831,0.9998407959938049
random,6,0.0,81,0.25,0.25,0.25,0.2505497932434082,0.24611304700374603,0.2552507519721985,0.2241992882562278,0.1923076923076923,0.24285714285714288,0.22171945701357465,0.19999999999999996,0.23658798283261806,0.4607609510421753,0.37052854895591736,0.504821240901947,0.4836729168891907,0.4249320328235626,0.5350387096405029,0.88776695728302,0.8633748888969421,0.9288602471351624,0.4961460530757904,0.29046958684921265,0.6854895949363708,0.8690239787101746,0.7294903993606567,0.9573466181755066
random,8,0.0,81,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.9999999403953552,1.0000001192092896,0.9999995827674866,0.9999995231628418,0.9999997019767761,0.0,0.0,0.0
semantic,1,0.0,27,0.875,0.875,0.875,0.8184561133384705,0.773035204410553,0.8372468590736389,0.7547568710359408,0.6616213726393367,0.8079584853047204,0.7760180995475113,0.7,0.8280579399141631,0.6734613180160522,0.5618543505668641,0.7930707097053529,0.7372403144836426,0.6003094553947449,0.8430572152137756,0.7396809458732605,0.6090985298156738,0.8272206902503968,0.2810506522655487,0.22615934014320374,0.3379794716835022,0.9600992202758789,0.9415500283241272,0.97461838722229
semantic,2,0.0,27,0.75,0.75,0.75,0.6796594262123108,0.6327802538871765,0.6976234912872314,0.626984126984127,0.5560049019607843,0.6935520252243512,0.6651583710407241,0.6,0.7097639484978541,0.5585080981254578,0.45075550079345705,0.7040439367294312,0.6253843903541565,0.49561232328414917,0.7449303984642028,0.8297668099403381,0.7105227589607239,0.892755675315857,0.4591856598854065,0.3988989174365997,0.5023996353149414,0.8886339068412781,0.865202534198761,0.9207946181297302
semantic,4,0.0,27,0.5,0.5,0.5,0.42832356691360474,0.39331802129745486,0.4462572455406189,0.40324214792299895,0.3462316418960514,0.46492157856176947,0.4434389140271493,0.4,0.473175965665236,0.402050644159317,0.3296093583106995,0.5325722813606263,0.4640697240829468,0.34903898239135744,0.5631532430648803,0.9156903624534607,0.8466069817543029,0.9441498756408692,0.6839529871940613,0.6143675208091736,0.7210499882698059,0.7295796871185303,0.6949366807937623,0.7902598261833191
semantic,6,0.0,27,0.25,0.25,0.25,0.20639961957931519,0.18748825192451476,0.216362801194191,0.18785578747628084,0.1449477601259482,0.23006165831639486,0.22171945701357465,0.19999999999999996,0.23658798283261806,0.25986814498901367,0.21268070340156556,0.3565469205379486,0.2981806695461273,0.22675213515758513,0.379296612739563,0.9656630158424377,0.9343751430511474,0.9771401286125183,0.8300149440765381,0.7835551619529724,0.8666505932807922,0.5593101978302002,0.5003707408905029,0.6217144846916199
semantic,8,0.0,27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.9999999403953552,1.0000001192092896,0.9999995827674866,0.9999995231628418,0.9999996662139893,0.0,0.0,0.0
